pathway,gene
biogenesis,AFG1L
biogenesis,AFG3L2
biogenesis,AGK
biogenesis,AIFM1
biogenesis,ATAD1
biogenesis,ATP23
biogenesis,CASP3
biogenesis,CASP8
biogenesis,CASP9
biogenesis,CHCHD4
biogenesis,CLPB
biogenesis,CLPP
biogenesis,CLPX
biogenesis,DNAJA3
biogenesis,DNAJC11
biogenesis,DNAJC15
biogenesis,DNAJC19
biogenesis,DNAJC4
biogenesis,DNLZ
biogenesis,FKBP10
biogenesis,GFER
biogenesis,GRPEL1
biogenesis,GRPEL2
biogenesis,HSPD1
biogenesis,HSPE1
biogenesis,HTRA2
biogenesis,IDE
biogenesis,IMMP1L
biogenesis,IMMP2L
biogenesis,LACTB
biogenesis,LAP3
biogenesis,LONP1
biogenesis,MAIP1
biogenesis,METAP1D
biogenesis,MIPEP
biogenesis,MTX1
biogenesis,MTX2
biogenesis,MUL1
biogenesis,NLN
biogenesis,NRDC
biogenesis,OMA1
biogenesis,OXA1L
biogenesis,PAM16
biogenesis,PARK7
biogenesis,PARL
biogenesis,PDF
biogenesis,PHB
biogenesis,PHB2
biogenesis,PITRM1
biogenesis,PMPCA
biogenesis,PMPCB
biogenesis,PRSS35
biogenesis,ROMO1
biogenesis,SAMM50
biogenesis,SLC25A23
biogenesis,SLC25A24
biogenesis,SLC25A25
biogenesis,SLC25A31
biogenesis,SLC25A33
biogenesis,SLC25A36
biogenesis,SLC25A4
biogenesis,SLC25A41
biogenesis,SLC25A5
biogenesis,SLC25A6
biogenesis,SPG7
biogenesis,STOML2
biogenesis,TIMM10
biogenesis,TIMM10B
biogenesis,TIMM13
biogenesis,TIMM17A
biogenesis,TIMM17B
biogenesis,TIMM21
biogenesis,TIMM22
biogenesis,TIMM23
biogenesis,TIMM29
biogenesis,TIMM44
biogenesis,TIMM50
biogenesis,TIMM8A
biogenesis,TIMM8B
biogenesis,TIMM9
biogenesis,TOMM20
biogenesis,TOMM20L
biogenesis,TOMM22
biogenesis,TOMM34
biogenesis,TOMM40
biogenesis,TOMM40L
biogenesis,TOMM5
biogenesis,TOMM6
biogenesis,TOMM7
biogenesis,TOMM70
biogenesis,TRAP1
biogenesis,UQCRC1
biogenesis,UQCRC2
biogenesis,USP30
biogenesis,XPNPEP3
biogenesis,YME1L1
fission,ARMC10
fission,DNM1L
fission,FIS1
fission,MFF
fission,MIEF1
fission,MIEF2
fission,MTFP1
fission,MTFR1
fission,MTFR2
fission,MUL1
fission,OMA1
fission,RAB24
fission,SLC25A46
fission,SPIRE1
fission,STX17
fusion,ARL2
fusion,MFN1
fusion,MFN2
fusion,MIGA1
fusion,MIGA2
fusion,MTCH2
fusion,OMA1
fusion,OPA1
fusion,PLD6
mitophagy,BCL2L13
mitophagy,FKBP8
mitophagy,FUNDC1
mitophagy,MARCHF5
mitophagy,NBR1
mitophagy,NIPSNAP1
mitophagy,NIPSNAP2
mitophagy,PARK7
mitophagy,PARL
mitophagy,PGAM5
mitophagy,PINK1
mitophagy,PRKN
mitophagy,RAB24
mitophagy,SNAP29
mitophagy,STX17
mitophagy,TOMM7
mitophagy,USP30
mitophagy,VPS13D
