gene,MitoPathways
CYC1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits
SDHB,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
COQ7,Metabolism > Metals and cofactors > Coenzyme Q metabolism
SDHA,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits
UQCRC1,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"
COQ5,Metabolism > Metals and cofactors > Coenzyme Q metabolism
PDHA1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
COQ9,Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL12,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome
ATP5F1D,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
COX5A,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
ISCA2,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
PMPCB,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
UQCRFS1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
ATP5F1A,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
OGDH,Metabolism > Carbohydrate metabolism > TCA cycle
PDHB,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
UQCRC2,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"
SDHD,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
MRPS35,Mitochondrial central dogma > Translation > Mitochondrial ribosome
UQCRQ,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
MRPL53,Mitochondrial central dogma > Translation > Mitochondrial ribosome
DBT,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
PDK4,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MDH2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle
MRPS27,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CS,Metabolism > Carbohydrate metabolism > TCA cycle
GRPEL1,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis"
DLAT,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
