,n_cells_detected
CHCHD2,21610
TOMM7,21045
ATP5MG,20992
PARK7,16896
SLC25A5,16499
MCL1,15723
TOMM20,14706
MRPS21,14002
FIS1,13683
CYCS,13393
ATP5ME,13387
FKBP8,12802
SSBP1,12768
TUFM,12534
AURKAIP1,12501
VDAC1,12258
MRPL41,11955
MRPL20,11863
MRPL51,11826
GHITM,11433
GADD45GIP1,11359
MRPL57,11331
MRPL33,11060
SLIRP,10720
COX14,10655
MRPS34,10538
MRPL52,10021
BNIP3L,9927
MRPS6,9740
BAX,9712
MRPL43,9590
MFF,9468
DAP3,9402
MRPL14,9264
MRPL18,9199
FUNDC2,9139
OXA1L,9110
MRPL54,8991
MRPL34,8988
VDAC3,8659
COA3,8645
MRPS15,8489
REXO2,8263
MRPS16,8209
MRPL3,8113
MRPL55,8100
MRPS7,8059
GRSF1,8056
METTL5,8013
HSD17B10,7827
MRPL4,7712
MRPL27,7647
MRPS18B,7636
MTIF3,7583
MRPS26,7542
NGRN,7502
MRPL11,7451
MRPL36,7424
MRPL13,7399
NIPSNAP2,7370
MRPS18C,7235
CHCHD3,7228
PPA2,7223
ARMCX3,7130
MRPL21,7093
MRPS33,7048
MRPL24,6992
CHCHD1,6960
BAD,6869
MRPL40,6810
MRPL42,6799
BNIP3,6711
BCL2L1,6653
MRPL32,6433
MTX2,6430
MRPS35,6425
MRPL28,6415
MRPS5,6384
MRPL9,6382
POLDIP2,6346
MRPL37,6338
MRPL17,6307
IARS2,6165
ARMC10,6150
MRPL47,6087
MRPS14,6050
MRPL22,6018
LRPPRC,5988
MRPL16,5940
MALSU1,5921
FASTK,5862
AHCYL1,5822
IMMT,5805
MRPS11,5755
MRPL19,5600
TFAM,5592
RAB24,5567
MRPS23,5529
MICOS13,5484
MRPS10,5482
MRPS25,5467
SNAP29,5441
MRPS30,5421
NBR1,5417
MTX1,5413
QTRT1,5379
RHOT2,5360
MRPL15,5217
DHX30,5188
BCL2,5089
DNM1L,5062
IFI27,5024
PARL,5023
TRMT10C,4873
APEX1,4844
MRPS18A,4824
MRPL58,4782
STX17,4747
PPIF,4724
SAMM50,4708
BID,4688
MICOS10,4641
METTL15,4597
MTERF4,4590
VPS13D,4575
TMEM11,4574
PMAIP1,4547
MRPS2,4541
OPA1,4531
POLB,4514
RHOT1,4512
MRPL2,4459
MRPL50,4439
BCL2L13,4426
RPUSD3,4339
FARS2,4300
MTCH2,4268
MRPL48,4235
METTL17,4215
MRPL10,4213
TRMT1,4173
STYXL1,4161
CASP8,4096
MRPS31,4094
HTRA2,4064
RNASEH1,4058
RMDN3,4052
MRPS36,4027
NIPSNAP1,3991
RARS2,3970
MTG1,3961
SLC25A4,3934
MRPS22,3925
MRPS12,3906
GFM1,3905
PTCD3,3901
MRPL1,3895
MRPS27,3878
SLC25A46,3819
TRNT1,3802
MRPS24,3798
MRPS28,3793
ANGEL2,3745
MRRF,3660
APOO,3642
MIGA1,3634
RBFA,3627
DIABLO,3597
MRPL49,3553
NSUN2,3553
ARL2,3507
ERAL1,3481
PNPT1,3478
TBRG4,3466
MRPL35,3453
MRPS9,3406
MRPL44,3383
CASP3,3366
MFN1,3339
MRPL46,3326
MARCHF5,3294
NOA1,3277
FUNDC1,3266
METTL8,3241
TRUB2,3147
CARS2,3090
CDK5RAP1,3068
YBEY,3056
RMND1,3043
PIGBOS1,3018
GARS1,3017
MTIF2,3015
AIFM1,3011
ELAC2,2976
MRM2,2964
TACO1,2962
TFB1M,2946
MGME1,2945
LACTB2,2915
BAK1,2902
MTG2,2900
UNG,2896
TIMM21,2887
MYG1,2871
MTFR1,2864
BCL2A1,2839
QRSL1,2838
CHCHD6,2824
MRPL39,2815
POLG,2800
WARS2,2765
BCL2L11,2754
NARS2,2753
KARS1,2731
TRMT61B,2716
TFB2M,2670
YARS2,2669
MTRF1L,2634
GTPBP10,2625
SUPV3L1,2588
MFN2,2536
TRMU,2525
OGG1,2520
RCC1L,2516
FASTKD2,2498
DNAJC11,2486
PINK1,2438
MRPL45,2427
FASTKD1,2422
TSFM,2393
MTO1,2366
GTPBP3,2351
MTERF3,2344
TEFM,2323
MRPL38,2322
TOP1MT,2319
BIK,2308
ARMCX1,2299
MUL1,2286
NSUN4,2268
APOOL,2250
HEMK1,2238
HARS2,2231
MTFP1,2183
MTFMT,2173
GUF1,2166
PRIMPOL,2163
MPV17L2,2162
PUSL1,2150
MIEF1,2134
MTERF1,2109
POLG2,2101
OMA1,2092
MTERF2,2084
PDE12,2069
THG1L,2055
SPIRE1,2052
BBC3,2047
POLRMT,2037
LIG3,2036
ATAD3B,2005
RPUSD4,2004
MRPL12,1991
TRIT1,1975
MRM3,1970
SYNJ2BP,1970
PRKN,1960
METTL4,1905
TARS2,1902
GFM2,1895
GATC,1884
NSUN3,1857
ATAD3A,1846
MUTYH,1820
PUS1,1782
EXD2,1722
MTRES1,1715
MRPL23,1703
SPHK2,1658
ALKBH1,1591
BOK,1579
TRMT2B,1566
EARS2,1556
AIFM2,1541
EXOG,1527
MYO19,1452
LARS2,1438
MIGA2,1434
MTPAP,1421
TRMT5,1399
MRPL30,1373
PDF,1372
GATB,1356
MTX3,1319
MRPS17,1303
VARS2,1248
DARS2,1192
FASTKD5,1186
MTRF1,1185
YRDC,1176
MRPL53,1173
RTL10,1161
OSGEPL1,1141
ENDOG,1111
FASTKD3,1094
CASP9,1082
METAP1D,1065
SEPTIN4,1064
USP30,1063
BCL2L2,998
DUS2,985
TOP3A,957
PTCD2,937
AARS2,878
DDX28,850
PGAM5,763
SARS2,716
PLD6,596
DNA2,585
PTCD1,569
RECQL4,548
MARS2,517
PIF1,493
TWNK,485
MIEF2,484
PARS2,430
MTFR2,392
MRM1,375
PRORP,335
POLQ,304
AIFM3,286
BCL2L10,140
MGARP,93
SLC25A31,4
