subject_id,count
HTAPP-862,1428
CID4495,1024
CID44971,1020
CID4471,1004
CID44991,931
CID4290A,811
BIOKEY_35,775
CID3586,762
CID4513,743
CID4066,704
BIOKEY_10,701
HTAPP-806,652
BIOKEY_16,633
BIOKEY_12,624
CID4398,608
BIOKEY_1,585
CID4530N,574
BIOKEY_6,531
BIOKEY_15,530
CID4535,522
BIOKEY_26,511
CID4515,510
BIOKEY_4,501
BIOKEY_19,477
CID4067,475
BIOKEY_36,463
BIOKEY_30,461
BIOKEY_31,447
CID3963,444
BIOKEY_17,399
CID3921,398
BIOKEY_41,385
BIOKEY_21,373
BIOKEY_2,370
BIOKEY_33,342
CID45171,335
BIOKEY_3,331
BIOKEY_18,324
CID3838,323
CID4040,315
CID3948,305
HTAPP-783,304
BIOKEY_24,295
BIOKEY_11,286
BIOKEY_9,286
BIOKEY_27,284
BIOKEY_23,284
BIOKEY_14,270
BIOKEY_5,265
BIOKEY_13,263
BIOKEY_28,262
CID44041,258
BIOKEY_37,253
CID4523,246
CID4465,225
BIOKEY_34,224
HTAPP-225,221
BIOKEY_20,213
BIOKEY_38,212
HTAPP-425,188
BIOKEY_40,178
BIOKEY_22,173
BIOKEY_42,172
BIOKEY_7,152
CID4463,149
BIOKEY_39,133
CID3946,93
CID4461,90
BIOKEY_8,90
CID3941,85
BIOKEY_32,77
BIOKEY_29,76
BIOKEY_25,42
