gene,MitoPathways,Symbol,GeneSymbol,Gene Symbol,Pathways
CYC1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,CYC1,CYC1,CYC1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits
SDHB,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,SDHB,SDHB,SDHB,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
COQ7,Metabolism > Metals and cofactors > Coenzyme Q metabolism,COQ7,COQ7,COQ7,Metabolism > Metals and cofactors > Coenzyme Q metabolism
SDHA,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,SDHA,SDHA,SDHA,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits
UQCRC1,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",UQCRC1,UQCRC1,UQCRC1,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"
COQ5,Metabolism > Metals and cofactors > Coenzyme Q metabolism,COQ5,COQ5,COQ5,Metabolism > Metals and cofactors > Coenzyme Q metabolism
PDHA1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,PDHA1,PDHA1,PDHA1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
COQ9,Metabolism > Metals and cofactors > Coenzyme Q metabolism,COQ9,COQ9,COQ9,Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL12,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL12,MRPL12,MRPL12,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome
ATP5F1D,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5F1D,ATP5F1D,ATP5F1D,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
COX5A,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX5A,COX5A,COX5A,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
ISCA2,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,ISCA2,ISCA2,ISCA2,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
PMPCB,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",PMPCB,PMPCB,PMPCB,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
UQCRFS1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,UQCRFS1,UQCRFS1,UQCRFS1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
ATP5F1A,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5F1A,ATP5F1A,ATP5F1A,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
OGDH,Metabolism > Carbohydrate metabolism > TCA cycle,OGDH,OGDH,OGDH,Metabolism > Carbohydrate metabolism > TCA cycle
PDHB,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,PDHB,PDHB,PDHB,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
UQCRC2,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",UQCRC2,UQCRC2,UQCRC2,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"
SDHD,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,SDHD,SDHD,SDHD,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
MRPS35,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS35,MRPS35,MRPS35,Mitochondrial central dogma > Translation > Mitochondrial ribosome
UQCRQ,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,UQCRQ,UQCRQ,UQCRQ,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
MRPL53,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL53,MRPL53,MRPL53,Mitochondrial central dogma > Translation > Mitochondrial ribosome
DBT,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,DBT,DBT,DBT,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
PDK4,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,PDK4,PDK4,PDK4,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MDH2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,MDH2,MDH2,MDH2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle
MRPS27,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS27,MRPS27,MRPS27,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CS,Metabolism > Carbohydrate metabolism > TCA cycle,CS,CS,CS,Metabolism > Carbohydrate metabolism > TCA cycle
GRPEL1,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",GRPEL1,GRPEL1,GRPEL1,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis"
DLAT,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,DLAT,DLAT,DLAT,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
LRPPRC,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,LRPPRC,LRPPRC,LRPPRC,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation
DLST,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism,DLST,DLST,DLST,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism
PDHX,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,PDHX,PDHX,PDHX,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
GFM1,Mitochondrial central dogma > Translation > Translation factors,GFM1,GFM1,GFM1,Mitochondrial central dogma > Translation > Translation factors
MPC2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,MPC2,MPC2,MPC2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
NDUFS1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,NDUFS1,NDUFS1,NDUFS1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
MRPL46,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL46,MRPL46,MRPL46,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ATP5F1E,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5F1E,ATP5F1E,ATP5F1E,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
SLC25A3,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family,SLC25A3,SLC25A3,SLC25A3,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family
MRPS23,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS23,MRPS23,MRPS23,Mitochondrial central dogma > Translation > Mitochondrial ribosome
FH,Metabolism > Carbohydrate metabolism > TCA cycle,FH,FH,FH,Metabolism > Carbohydrate metabolism > TCA cycle
PMPCA,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",PMPCA,PMPCA,PMPCA,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
ATP5F1B,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5F1B,ATP5F1B,ATP5F1B,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
SDHAF4,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,SDHAF4,SDHAF4,SDHAF4,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
UQCR10,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,UQCR10,UQCR10,UQCR10,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
ISCA1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,ISCA1,ISCA1,ISCA1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
SUCLA2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,SUCLA2,SUCLA2,SUCLA2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
COQ3,Metabolism > Metals and cofactors > Coenzyme Q metabolism,COQ3,COQ3,COQ3,Metabolism > Metals and cofactors > Coenzyme Q metabolism
IARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,IARS2,IARS2,IARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
MRPS15,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS15,MRPS15,MRPS15,Mitochondrial central dogma > Translation > Mitochondrial ribosome
IDH3A,Metabolism > Carbohydrate metabolism > TCA cycle,IDH3A,IDH3A,IDH3A,Metabolism > Carbohydrate metabolism > TCA cycle
COX11,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,COX11,COX11,COX11,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
ETFDH,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",ETFDH,ETFDH,ETFDH,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
TIMM10,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",TIMM10,TIMM10,TIMM10,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
MRPL34,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL34,MRPL34,MRPL34,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL2,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL2,MRPL2,MRPL2,Mitochondrial central dogma > Translation > Mitochondrial ribosome
BCKDHA,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,BCKDHA,BCKDHA,BCKDHA,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
UQCRH,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,UQCRH,UQCRH,UQCRH,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
HIGD2A,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly,HIGD2A,HIGD2A,HIGD2A,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly
ATP5PO,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5PO,ATP5PO,ATP5PO,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
ECHS1,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism,ECHS1,ECHS1,ECHS1,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism
LETMD1,Small molecule transport,LETMD1,LETMD1,LETMD1,Small molecule transport
COX6A1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX6A1,COX6A1,COX6A1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
COX15,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,COX15,COX15,COX15,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors
AFG3L2,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",AFG3L2,AFG3L2,AFG3L2,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
